,연번,사업구분,상호명,전화번호,소재지,lat,lon
0,1,액화석유가스 충전소,스마일충전소,032-873-8069,인천광역시 남동구 염전로 403(간석동),126.684622225722,37.469757707306
1,2,액화석유가스 충전소,㈜한성에너지,032-422-2446,인천광역시 남동구 석정로 495(간석동),126.690673569796,37.466326718567
2,3,액화석유가스 충전소,㈜가스코,032-422-0066,인천광역시 남동구 백범로 409(간석동),126.70591110872,37.4670600299628
3,4,액화석유가스 충전소,㈜남동가스충전소,032-467-0038,인천광역시 남동구 남동대로 626(구월동),126.706956721918,37.4382653485154
4,5,액화석유가스 충전소,대공원충전소,032-465-0323,인천광역시 남동구 인주대로 1072(서창동),126.756483789276,37.4456626300749
5,6,액화석유가스 충전소,논현충전소,032-446-9095,인천광역시 남동구 청능대로468번길 1(고잔동),126.711543171902,37.3986689770487
6,7,액화석유가스 충전소,장수충전소,032-472-1876,인천광역시 남동구 수인로 3735(장수동),126.746742230732,37.4496439114525
7,8,액화석유가스 충전소,수산동충전소,032-473-7709,인천광역시 남동구 소래로 475(수산동),126.73190701702,37.4321737143618
8,9,액화석유가스 충전소,도림가스충전소,032-425-5155,인천광역시 남동구 호구포로 388(도림동),126.715472463618,37.4171581811507
9,10,액화석유가스 판매소,협성가스,032-433-5353,인천광역시 남동구 예술로370번길 71(간석동),126.707194724444,37.4666991202033
10,11,액화석유가스 판매소,팔팔가스,032-441-1388,인천광역시 남동구 청능대로484번길 8-41(고잔동),,
11,12,액화석유가스 판매소,㈜남동엘피지,032-469-1311,인천광역시 남동구 에코중앙로25-7(고잔동),126.714120737334,37.3864153339303
12,13,도시가스 충전소,세운산업㈜ 장수CNG충전소,070-8867-1153,인천광역시 남동구 수현로 9(장수동),126.75075338882,37.4623220895326
13,14,도시가스 충전소,서창공영차고지 CNG충전소,070-8818-1153,인천광역시 남동구 서창방산로136(서창동),126.758319636906,37.4261826955374
