,번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),환경업무구분명,폐기물처리업구분명,폐기물처리업별처리구분명,폐기물구분명,허용보관량,허용보관량내용,Unnamed: 34,lat,lon
292,293,건설폐기물처리업,09_30_05_P,3530000,353000092201800003,2019-01-21,,1,영업/정상,BBBB,영업,,,,,032-430-6012,,,인천광역시 남동구 고잔동 365-1,"인천광역시 남동구 앵고개로697번길 50, 3층 (고잔동)",21677,측천산업(주),2024-03-05 09:39:41,U,2024-03-07 02:40:00,,174746.952226328,432149.117079845,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,126.71561479948,37.3910389173128
594,595,건설폐기물처리업,09_30_05_P,3530000,353000092202200002,2022-02-08,,1,영업/정상,BBBB,영업,,,,,070-8691-2989,,,인천광역시 남동구 논현동 632-1 칼리오페,"인천광역시 남동구 논고개로123번길 35, 칼리오페 7층 1호 (논현동)",21653,그린웨이(주),2023-08-14 16:54:28,U,2023-08-17 02:40:00,,255354.973215392,422249.439215256,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,126.722084707984,37.4015095461166
1133,1134,건설폐기물처리업,09_30_05_P,3530000,353000092201900001,2019-09-27,,1,영업/정상,BBBB,영업,,,,,438-9011,,,인천광역시 남동구 고잔동 409-3,인천광역시 남동구 고잔로41번길 56-1 (고잔동),21678,(주)남동환경,2024-03-12 16:14:31,U,2024-03-14 02:40:00,,175157.827280308,432283.436375438,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,126.720255964464,37.3923031262179
1989,1990,건설폐기물처리업,09_30_05_P,3530000,353000092200500001,2005-07-15,,1,영업/정상,BBBB,영업,,,,,8323-417,,405-310,인천광역시 남동구 고잔동 409-8번지,,,미래건기(주),2011-10-30 16:13:16,I,2018-08-31 23:59:59,,175038.919957207,432137.886559068,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,126.718949335796,37.390988323275
1990,1991,건설폐기물처리업,09_30_05_P,3530000,353000092199700001,1997-12-13,,1,영업/정상,BBBB,영업,,,,,0328126283,,405-816,인천광역시 남동구 고잔동 512-2,,,(주)세종인바이런먼트,2022-10-11 16:31:58,U,2022-10-13 02:40:00,,174103.411357206,431463.749165918,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,450.0,,,126.708377277984,37.3848932719487
1991,1992,건설폐기물처리업,09_30_05_P,3530000,353000092200785810,2007-12-12,,1,영업/정상,BBBB,영업,,,,,0328181182,,405-816,인천광역시 남동구 고잔동 408번지,,,(주)태현토건,2008-01-22 18:01:56,I,2018-08-31 23:59:59,,174988.525669851,432182.126292092,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,,,,126.718390011552,37.3914727324074
1992,1993,건설폐기물처리업,09_30_05_P,3530000,353000092200300001,2004-01-19,,1,영업/정상,BBBB,영업,,,,,,,405-817,인천광역시 남동구 고잔동 630번지 유통상가에이동343호,"인천광역시 남동구 은청로 4-7  (고잔동,유통상가에이동343호)",,새솔환경개발(주),2010-12-29 13:36:41,I,2018-08-31 23:59:59,,172797.122604371,433931.185296708,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,126.693536358955,37.4070865754912
1993,1994,건설폐기물처리업,09_30_05_P,3530000,353000092200800001,2008-02-25,,1,영업/정상,BBBB,영업,,,,,0324210493,,405-842,인천광역시 남동구 남촌동 352-9번지,인천광역시 남동구 남촌로122번길 62-5  (남촌동),,(주)태인개발,2009-03-02 16:09:03,I,2018-08-31 23:59:59,,174716.300361461,436769.556013526,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,126.715114897124,37.4327021655756
1994,1995,건설폐기물처리업,09_30_05_P,3530000,353000092200800003,2008-04-01,,1,영업/정상,BBBB,영업,,,,,,,,인천광역시 남동구 장수동 785-7 태영빌딩3층,"인천광역시 남동구 장수로 2-5 (장수동,태영빌딩3층)",21602,(주)일성제이에스,2024-04-25 16:52:00,U,2024-04-27 02:40:00,,177791.734107031,438654.56799029,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,126.749807046731,37.4497786531069
1995,1996,건설폐기물처리업,09_30_05_P,3530000,353000092200800004,2020-01-23,,1,영업/정상,BBBB,영업,,,,,4723207,,405-260,인천광역시 남동구 서창동 377-35 외1필지서창프라자4층401호,"인천광역시 남동구 매소홀로 1135, 4층 (서창동, 제이알빌딩)",405-260,(주)일성제이에스,2023-03-16 14:47:39,U,2023-05-26 08:48:36,,177706.98491548,437413.64938303,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,,
1996,1997,건설폐기물처리업,09_30_05_P,3530000,353000092200800006,2008-06-09,,1,영업/정상,BBBB,영업,,,,,,,405-727,인천광역시 남동구 고잔동 630번지 공구상가,"인천광역시 남동구 은청로 4-7  (고잔동,공구상가)",,(주)가로수환경,2008-06-09 18:02:10,I,2018-08-31 23:59:59,,172797.122604371,433931.185296708,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,,,,126.693536358955,37.4070865754912
1997,1998,건설폐기물처리업,09_30_05_P,3530000,353000092200800007,2008-06-12,,1,영업/정상,BBBB,영업,,,,,,,,인천광역시 남동구 고잔동 408,,,(주)마당쇠환경,2023-11-24 13:54:04,U,2023-11-26 02:40:00,,174988.525669851,432182.126292092,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,126.718390011552,37.3914727324074
1998,1999,건설폐기물처리업,09_30_05_P,3530000,353000092200900004,2009-06-29,,1,영업/정상,BBBB,영업,,,,,4625855,,405-221,인천광역시 남동구 구월동 1319번지 태웅빌딩202호,"인천광역시 남동구 인주대로 822  (구월동,태웅빌딩202호)",,(주)재인공영,2009-06-29 16:22:05,I,2018-08-31 23:59:59,,175926.701396152,438498.717645982,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,,,,126.728734901197,37.4483268591884
