,연번,녹지종류,녹지명,녹지위치,면적,녹지조성면적,데이터기준일자,lat,lon
0,1,완충녹지,구월1녹지,인천광역시 남동구 구월동 1394-12일원,4836.4,4836.4,2024-05-17,126.6946528044,37.4459638022882
1,2,완충녹지,구월2녹지,인천광역시 남동구 구월동 1254-7,306.2,306.2,2024-05-17,126.721566496613,37.4573755262552
2,3,완충녹지,구월3녹지,인천광역시 남동구 만수동 909,623.8,623.8,2024-05-17,126.72316720768,37.4554301317684
3,4,완충녹지,십정녹지,인천광역시 남동구 간석동762-2,3602.0,3602.0,2024-05-17,126.691113520239,37.4701993185923
4,5,완충녹지,만수1녹지,인천광역시 남동구 만수동 33일원,13220.8,13220.8,2024-05-17,126.731481196429,37.4564509675594
5,6,완충녹지,만수2녹지,인천광역시 남동구 만수동 1005-8,3569.3,3569.3,2024-05-17,126.740406626972,37.4510045679878
6,7,완충녹지,만수3녹지,인천광역시 남동구 만수동 1007-4일원,1935.3,1935.3,2024-05-17,126.738248759448,37.447876272405
7,8,완충녹지,만수4녹지,인천광역시 남동구 만수동 1018-1,2087.6,2087.6,2024-05-17,126.733384197054,37.4444086670983
8,9,완충녹지,만수5녹지,인천광역시 남동구 만수동 1043-3일원,3764.7,3764.7,2024-05-17,126.733899108726,37.442764849543
9,10,완충녹지,만수6녹지,인천광역시 남동구 만수동 1037-1,5610.4,5610.4,2024-05-17,126.741187828791,37.441479702039
10,11,완충녹지,만수7녹지,인천광역시 남동구 만수동 1049-5일원,3230.2,3230.2,2024-05-17,126.738172670774,37.4385456706956
11,12,완충녹지,승기천변녹지,인천광역시 남동구 남촌동 634일원,27330.4,27330.4,2024-05-17,126.701441964076,37.4209619964413
12,13,완충녹지,제1유수지변녹지,인천광역시 남동구 고잔동 711-1,18273.4,18273.4,2024-05-17,126.679287338089,37.3926179035811
13,14,완충녹지,제2유수지변녹지,인천광역시 남동구 고잔동 714-1,15436.9,15436.9,2024-05-17,126.690592357127,37.3917246598518
14,15,완충녹지,도림1녹지,인천광역시 남동구 도림동629-5,679.6,679.6,2024-05-17,126.732514934956,37.4208869983936
15,16,완충녹지,도림2녹지,인천광역시 남동구 도림동629-3,1650.0,1650.0,2024-05-17,126.730942311293,37.4200879229508
16,17,완충녹지,도림3녹지,인천광역시 남동구 도림동630-2,1371.9,1371.9,2024-05-17,126.729361443134,37.4187638758281
17,18,완충녹지,도림4녹지,인천광역시 남동구 도림동630-3,442.9,442.9,2024-05-17,126.728536021602,37.4179109737932
18,19,완충녹지,도림5녹지,인천광역시 남동구 도림동630-4,553.4,553.4,2024-05-17,126.728112428269,37.4172782079229
19,20,완충녹지,도림1호녹지,인천광역시 남동구 도림동 648-3,655.7,655.7,2024-05-17,126.728673753597,37.4215983364129
20,21,완충녹지,도림2호녹지,인천광역시 남동구 도림동 648-5,656.6,656.6,2024-05-17,126.729666183334,37.421541863799
21,22,완충녹지,도림3호녹지,인천광역시 남동구 도림동 651-3,533.4,533.4,2024-05-17,126.731032157149,37.4214677625038
22,23,완충녹지,도림4호녹지,인천광역시 남동구 도림동 654-3,821.6,821.6,2024-05-17,126.728409613227,37.4211641612363
23,24,완충녹지,도림5호녹지,인천광역시 남동구 도림동 655-7,254.8,254.8,2024-05-17,126.729362667769,37.4210918329199
24,25,완충녹지,도림6호녹지,인천광역시 남동구 도림동 719,83.1,83.1,2024-05-17,126.728476181486,37.4179021866184
25,26,완충녹지,도림7호녹지,인천광역시 남동구 도림동 720,121.9,121.9,2024-05-17,126.728324149869,37.4176463993046
26,27,완충녹지,도림8호녹지,인천광역시 남동구 도림동 722,34.6,34.6,2024-05-17,126.728214630149,37.4175056791753
27,28,완충녹지,도림9호녹지,인천광역시 남동구 도림동 725,36.9,36.9,2024-05-17,126.727719463896,37.4166742534403
28,29,완충녹지,도림10호녹지,인천광역시 남동구 도림동 689,818.3,818.3,2024-05-17,126.730152684999,37.42105633682
29,30,완충녹지,도림11호녹지,인천광역시 남동구 도림동 658-16,531.9,531.9,2024-05-17,126.73096722621,37.4210180080016
30,31,완충녹지,서창 6녹지,"인천광역시 남동구 서창동 574-7,8",2072.9,2072.9,2024-05-17,,
31,32,완충녹지,서창 7녹지,인천광역시 남동구 서창동 575-7,2614.0,2614.0,2024-05-17,126.752362756502,37.432696686645
32,33,완충녹지,서창 8녹지,인천광역시 남동구 서창동 576-1,1508.0,1508.0,2024-05-17,126.750831575391,37.4322097144309
33,34,완충녹지,서창 9녹지,인천광역시 남동구 서창동 577-1,1595.0,1595.0,2024-05-17,126.752036277145,37.4321659355607
34,35,완충녹지,장수구획 1녹지,인천광역시 남동구 장수동 792-1,1164.5,1164.5,2024-05-17,126.752543407941,37.4502023032569
35,36,완충녹지,장수구획 2녹지,인천광역시 남동구 장수동 766-7,282.2,282.2,2024-05-17,126.751685637029,37.4527640615594
36,37,완충녹지,장수구획 3녹지,인천광역시 남동구 장수동 794,472.5,472.5,2024-05-17,126.753742994408,37.4531511158643
37,38,완충녹지,장수택지녹지,인천광역시 남동구 장수동 479일원,1101.7,1101.7,2024-05-17,,
38,39,완충녹지,논현택지녹지,"인천광역시 남동구 논현동 563, 564",7537.0,7537.0,2024-05-17,,
39,40,완충녹지,논현1녹지,인천광역시 남동구 도림동 648일원,72616.2,72616.2,2024-05-17,,
40,41,완충녹지,논현2-1녹지,인천광역시 남동구 논현동 580-8,955.8,955.8,2024-05-17,126.709136175641,37.4056751631459
41,42,완충녹지,논현2-2녹지,인천광역시 남동구 논현동 580-7,1949.4,1949.4,2024-05-17,126.711441066884,37.4060350007765
42,43,완충녹지,논현2-3녹지,인천광역시 남동구 논현동 580-5,1862.4,1862.4,2024-05-17,126.711979154781,37.4078632155325
43,44,완충녹지,논현2-4녹지,인천광역시 남동구 논현동 643-2,883.6,883.6,2024-05-17,126.708962447276,37.4053579378902
44,45,완충녹지,논현2-5녹지,인천광역시 남동구 논현동 643-4,2172.6,2172.6,2024-05-17,126.710190736022,37.4049201771468
45,46,완충녹지,논현2-6녹지,인천광역시 남동구 논현동 643-6,523.0,523.0,2024-05-17,126.710175392246,37.4032443366528
46,47,완충녹지,논현2-7녹지,인천광역시 남동구 논현동 582-17,1122.5,1122.5,2024-05-17,126.71184894945,37.4056443232239
47,48,완충녹지,논현2-8녹지,인천광역시 남동구 논현동 582-19,1201.7,1201.7,2024-05-17,126.712243806184,37.4047601251704
48,49,완충녹지,논현2-9녹지,인천광역시 남동구 논현동 583-19,842.7,842.7,2024-05-17,126.713711882679,37.4045213151962
49,50,완충녹지,논현2-10녹지,인천광역시 남동구 논현동 583-21,278.9,278.9,2024-05-17,126.714612617411,37.4044932185281
50,51,완충녹지,논현2-11녹지,인천광역시 남동구 논현동 584-17,924.3,924.3,2024-05-17,126.715568396982,37.4045439062782
51,52,완충녹지,논현2-12녹지,인천광역시 남동구 논현동 635-5,775.6,775.6,2024-05-17,126.710725530424,37.4031882890291
52,53,완충녹지,논현2-13녹지,인천광역시 남동구 논현동 635-7,1568.2,1568.2,2024-05-17,126.711266653476,37.4041569444005
53,54,완충녹지,논현2-14녹지,인천광역시 남동구 논현동 635-9,1580.3,1580.3,2024-05-17,126.71331718228,37.4042428453763
54,55,완충녹지,논현2-15녹지,인천광역시 남동구 논현동 635-11,1277.0,1277.0,2024-05-17,126.714976468605,37.4041809024075
55,56,완충녹지,논현2-16녹지,인천광역시 남동구 논현동 639-2,13062.6,13062.6,2024-05-17,126.713700349438,37.3997749041085
56,57,완충녹지,논현2-17녹지,인천광역시 남동구 논현동 639-3,1387.1,1387.1,2024-05-17,126.713777312467,37.399434595546
57,58,완충녹지,논현2-18녹지,인천광역시 남동구 논현동 975-2,3133.9,3133.9,2024-05-17,,
58,59,완충녹지,논현2-19녹지,인천광역시 남동구 논현동 633-4,1217.2,1217.2,2024-05-17,126.717216806649,37.4044321695308
59,60,완충녹지,논현2-20녹지,인천광역시 남동구 논현동 633-6,1418.7,1418.7,2024-05-17,126.718861571608,37.4046598145498
60,61,완충녹지,논현2-21녹지,인천광역시 남동구 논현동 634-5,2813.5,2813.5,2024-05-17,126.719988218881,37.4005891651843
61,62,완충녹지,논현2-22녹지,인천광역시 남동구 논현동 634-7,2878.6,2878.6,2024-05-17,126.718159183252,37.4002211685729
62,63,완충녹지,논현2-23녹지,인천광역시 남동구 논현동 976-2,533.8,533.8,2024-05-17,,
63,64,완충녹지,논현2-24녹지,인천광역시 남동구 논현동 590-48,70.1,70.1,2024-05-17,126.723091915056,37.4092747181572
64,65,완충녹지,논현2-25녹지,인천광역시 남동구 논현동 590-50,352.5,352.5,2024-05-17,126.722882765073,37.4087736229457
65,66,완충녹지,논현2-26녹지,인천광역시 남동구 논현동 590-52,143.0,143.0,2024-05-17,126.722741616741,37.4081799721249
66,67,완충녹지,논현2-27녹지,인천광역시 남동구 논현동 589-37,445.8,445.8,2024-05-17,126.722860325705,37.4072301275463
