,번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),환경업무구분명,업종구분명,종별명,주생산품명,배출시설조업시간,배출시설연간가동일수,방지시설조업시간,방지시설연간가동일수,사업자등록번호,Unnamed: 37,lat,lon
25197,25198,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021201800008,2018-11-22,,1,영업/정상,11,영업,,,,,032-433-3881,,,인천광역시 남동구 고잔동 460-21번지,인천광역시 남동구 논현고잔로54번길 84 (고잔동),21682,마루이엠,2019-03-29 17:15:44,U,2019-03-31 02:40:00,그외 기타 분류안된 화학제품 제조업,174779.72064139,431652.898721706,대기배출업소관리,그외 기타 분류안된 화학제품 제조업,5종,,8.0,120.0,8.0,120.0,1211929854.0,,126.715974261696,37.386603338077
25395,25396,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021201800007,2018-11-08,,1,영업/정상,11,영업,,,,,0327124444,,,인천광역시 남동구 운연동 410-11,인천광역시 남동구 음실서로 61 (운연동),21601,(주)세마테크,2023-03-28 17:37:39,U,2023-03-30 02:40:00,지정외 폐기물 처리업,179163.153999724,436972.449796563,대기배출업소관리,지정외 폐기물 처리업,4종,,8.0,300.0,8.0,300.0,3468800020.0,,126.7653532072,37.4346538807539
25480,25481,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021201400723,2014-09-18,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 고잔동 139,"인천광역시 남동구 청능대로484번길 36-15, M동 (고잔동)",21686,에스지금속(주),2024-03-06 09:48:31,U,2024-03-08 02:40:00,금속원료 재생업,174663.859415542,432858.388493797,대기배출업소관리,금속원료 재생업,4종,,8.0,300.0,8.0,300.0,8530400310.0,,126.714683806859,37.3974242710251
26153,26154,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021201900001,2019-03-06,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 간석동 1-409번지,인천광역시 남동구 만월북로44번길 23 (간석동),21515,대성테크,2019-03-06 16:59:51,I,2019-03-08 02:21:43,,175135.245384455,441014.904275766,대기배출업소관리,,5종,,8.0,300.0,8.0,300.0,7473300238.0,,126.719709252089,37.4709754673485
26555,26556,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202300003,2023-09-04,,1,영업/정상,11,영업,,,,,0328220991,,,인천광역시 남동구 고잔동 335-1,인천광역시 남동구 앵고개로 694 (고잔동),21682,(주)하나리사이클링 제2공장,2023-09-13 15:32:07,U,2023-09-15 02:40:00,지정외 폐기물 처리업,174656.970458362,431867.757474946,대기배출업소관리,지정외 폐기물 처리업,5종,,8.0,300.0,8.0,300.0,,,126.71462932487,37.3885596392345
26674,26675,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202200002,2022-03-23,,1,영업/정상,11,영업,,,,,460-0571,,,인천광역시 남동구 논현동 767-4 남동소래아트홀,"인천광역시 남동구 아암대로1437번길 32, 남동소래아트홀 (논현동)",21684,남동소래아트홀(남동구 도시관리공단),2022-06-07 10:49:19,U,2022-06-09 02:40:00,,175530.352023841,431755.806130632,대기배출업소관리,,5종,,,0.0,,0.0,1318208883.0,,126.724479628517,37.3875627741676
27162,27163,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021201900004,2019-05-01,,1,영업/정상,11,영업,,,,,032-822-2777,,,인천광역시 남동구 고잔동 186-3 케이엠솔루션,"인천광역시 남동구 고잔로 15, 케이엠솔루션 (고잔동)",21678,케이엠솔루션,2023-07-11 17:45:42,U,2023-07-13 02:40:00,주형 및 금형 제조업,174819.105402412,432630.183090317,대기배출업소관리,주형 및 금형 제조업,5종,,18.0,300.0,18.0,300.0,1390158641.0,,126.716276055664,37.3948233462509
27181,27182,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021201900003,2019-04-12,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 고잔동 246-118,인천광역시 남동구 청능대로468번길 97-22 (고잔동),21686,한빛화학,2021-05-03 11:22:35,U,2021-05-05 02:40:00,,174237.469715158,432652.465919885,대기배출업소관리,,5종,,8.0,300.0,8.0,300.0,1390283244.0,,126.709849293172,37.3956065947012
27203,27204,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021201900002,2019-04-08,,1,영업/정상,11,영업,,,,,032-446-9766,,,인천광역시 남동구 고잔동 188-3번지,인천광역시 남동구 앵고개로697번길 129 (고잔동),21677,(주)인우테크,2019-04-10 18:00:28,I,2019-04-12 02:20:19,기계장비 조립용 플라스틱제품 제조업,174790.264538704,432517.463169131,대기배출업소관리,기계장비 조립용 플라스틱제품 제조업,5종,"카드단말기 부품, 정수기 부품",21.0,300.0,21.0,300.0,1318175027.0,,126.716105034247,37.3944157651557
27405,27406,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021201900005,2019-04-04,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 고잔동 390-6,"인천광역시 남동구 고잔로41번길 23, 1층 (고잔동)",21678,지엔,2023-04-01 16:58:10,U,2023-04-03 02:40:00,폐기물 처리업,174998.836022868,432367.773868377,대기배출업소관리,폐기물 처리업,4종,,,0.0,,0.0,2080708100.0,,126.718434448961,37.3930877358405
27589,27590,대기오염물질배출시설설치사업장,09_30_08_P,3530000,353000021202300002,2023-06-12,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 고잔동 460-10,인천광역시 남동구 논현고잔로54번길 68-2 (고잔동),21682,(주)고려솔더,2024-02-20 17:05:05,U,2024-02-22 02:40:00,"기타 비철금속 압연, 압출 및 연신제품 제조업",174714.383060968,431615.508075991,대기배출업소관리,"기타 비철금속 압연, 압출 및 연신제품 제조업",5종,,8.0,300.0,8.0,300.0,1318635412.0,,126.715273266329,37.3862439472158
