,연번,사업장명,현장소재지,발생사업,대상사업,데이터기준일자,lat,lon
0,1,주식회사 장원레미콘(인천공장지점),인천광역시 남동구 논현동 442-34,"1.시멘트·석회·플라스터(Plaster) 및 시멘트관련 제품의 제조 및 가공업, 2.비금속물질의 채취·제조·가공업","다.콘크리트제품제조업, 사. 비금속광물 분쇄물 생산업",2024-05-08,126.701612384386,37.4056264110657
1,2,세화골재,인천광역시 남동구 만수동 986-18,2.비금속물질의 채취·제조·가공업,가.토사석광업(골재보관·판매업),2024-05-08,126.732589637195,37.447556989538
2,3,영광골재,인천광역시 남동구 간석동 406-2,2.비금속물질의 채취·제조·가공업,가.토사석광업(골재보관·판매업),2024-05-08,,
3,4,㈜인조상사,인천광역시 남동구 구월동 1128-3,2.비금속물질의 채취·제조·가공업,가.토사석광업(골재보관·판매업),2024-05-08,126.702890858962,37.4503619090244
4,5,성진레미콘㈜,인천광역시 남동구 고잔동 166-7,"1.시멘트,석회,플라스터(Plaster) 및 시멘트관련 제품의 제조 및 가공업, 2.비금속물질의 채취·제조·가공업",다.콘크리트제품제조업,2024-05-08,126.713850268415,37.3959002556198
5,6,서울콘크리트,"인천광역시 남동구 서창동 318,222,226","1.시멘트,석회,플라스터(Plaster) 및 시멘트관련 제품의 제조 및 가공업",다.콘크리트제품제조업(벽돌제조),2024-05-08,,
6,7,㈜대인골재,인천광역시 남동구 구월동 1139-16,2.비금속물질의 채취·제조·가공업,가.토사석광업(골재보관·판매업),2024-05-08,,
7,8,(주)세종인바먼트,인천광역시 남동구 고잔동 512-2,2.비금속물질의 채취 ·제조·가공업,건설폐기물처리업,2024-05-08,126.708377277984,37.3848932719487
8,9,㈜마당쇠환경,인천광역시 남동구 고잔동 408,2.비금속물질의 채취 ·제조·가공업,건설폐기물처리업,2024-05-08,126.718390011552,37.3914727324074
9,10,주식회사 종성산업,인천광역시 남동구 고잔동 257-3,2.비금속물질의 채취·제조·가공업,사.비금속광물분쇄물생산업,2024-05-08,126.712555971895,37.3982299443225
10,11,㈜삼표송도공장,인천광역시 남동구 고잔동80-3,1.시멘트·석회·플라스터(Plaster) 및 시멘트관련 제품의 제조 및 가공업,다.콘크리트제품제조업,2024-05-08,126.721187116526,37.3992363256838
11,12,유진기업㈜송도,인천광역시 남동구 고잔동486외3필지,1.시멘트·석회·플라스터(Plaster) 및 시멘트관련 제품의 제조 및 가공업,다.콘크리트제품제조업,2024-05-08,,
12,13,진성주물공업사,인천광역시 남동구 고잔동 673,제1차금속제조업,금속주조업,2024-05-08,126.691971967878,37.4000887229452
13,14,㈜봉신 남동제1공장,인천광역시 남동구 고잔동 662-1,제1차금속제조업,금속주조업,2024-05-08,126.705847239506,37.3982266003176
14,15,㈜테크메탈,인천광역시 남동구 고잔동 641-6,제1차금속제조업,금속주조업,2024-05-08,126.700646475154,37.4045437397476
15,16,(주)팜스토리 서울사료 인천,인천광역시 남동구 고잔동 678-1,비료및사료제품제조업,배합사료제조업,2024-05-08,126.688272022955,37.3999686517339
16,17,기전산업㈜,고잔동 726,금속제품제조업,금속처리업,2024-05-08,126.832165959439,37.3140446097035
17,18,동양주공,인천광역시 남동구 고잔동 656-1,제1차금속제조업,금속주조업,2024-05-08,126.709408536025,37.3922087598205
18,19,㈜삼기레미콘,남동대로262번길 40,"1.시멘트, 석회, 플라스터 및 시멘트관련 제품의 제조 및 가공업",콘크리트제품제조업,2024-05-08,126.702042465619,37.4067157442928
19,20, (주)남동환경,고잔로41번길 56-1,2.비금속물질의 채취 ·제조·가공업,건설폐기물처리업,2024-05-08,126.720258681391,37.3923013306058
20,21,(주)태진환경산업,"음실서로 37,39(운연동)","2.비금속물질의 채취,제조,가공업",건설폐기물처리업,2024-05-08,,
21,22,대우산업개발㈜,논현동 111-7번지 일원,건설업,건축물축조공사,2024-05-08,127.039959367085,37.5185621953375
22,23,중부토건(주),"도림동, 남촌동 일원",건설업,토목공사,2024-05-08,,
23,24,현대건설(주),구월로 37번길 20 일원,건설업,건축물축조공사,2024-05-08,,
24,25,성도건설산업(주),논현동 66-12번지,건설업,건축물해체공사,2024-05-08,127.02876625679,37.5188351220487
25,26,(주)신세계토건,논현동 677-5,건설업,건축물축조공사,2024-05-08,126.735247895013,37.4006389140703
26,27,(주)동양 건설부문,"구월동 1128-4,5",건설업,건축물축조공사,2024-05-08,,
27,28,대륙종합건설 주식회사,간석동 174-5 외 2필지,건설업,건축물축조공사,2024-05-08,,
28,29,한신공영(주),간석동 514번지 일원,건설업,건축물축조공사,2024-05-08,126.699415961161,37.4596355950599
29,30,대길종합건설(주),논현동 751-2,건설업,건축물축조공사,2024-05-08,126.734683715128,37.3988898530412
30,31,금호건설(주),"간석동 254(제1저류조), 간석동 366(제2저류조)구월동 1549(임시야적장)",건설업,토목공사,2024-05-08,,
31,32,금호건설(주),논현동(소래포구) 일원,건설업,토목공사,2024-05-08,,
32,33,나경종합건설(주),논현동 676-9,건설업,건축물축조공사,2024-05-08,126.735833384532,37.4008292573173
33,34,부성종합건설(주),논현동 676-8,건설업,건축물축조공사,2024-05-08,126.735968725178,37.4005607857104
34,35,(주)현수종합건설,만수동 889,건설업,건축물축조공사,2024-05-08,126.725609552592,37.4558496615911
35,36,주식회사 서홍,간석동 514번지 일원,건설업,건축물축조공사,2024-05-08,126.699415961161,37.4596355950599
36,37,동경개발 주식회사,간석동 616-37,건설업,건축물축조공사,2024-05-08,126.685356736378,37.4703621688808
37,38,위본건설(주),수산동 294-4(수산정수장내),건설업,"토목공사, 건축물축조공사",2024-05-08,126.729531913515,37.4361302405031
