,번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),환경업무구분명,업종구분명,종별명,주생산품명,배출시설조업시간,배출시설연간가동일수,방지시설조업시간,방지시설연간가동일수,사업자등록번호,Unnamed: 37,lat,lon
108,109,수질오염원설치시설(기타),09_30_12_P,3530000,353000025202300003,2023-07-18,,1,영업/정상,11,영업,,,,,0324649000,,,인천광역시 남동구 구월동 620-19,"인천광역시 남동구 인주대로 806 (구월동, 아나벨빌딩)",405-832,봄날요양병원,2023-07-18 09:03:05,I,2023-07-20 00:18:54,,175741.487267268,438510.368353538,기타수질오염원관리,,,,,0,,0,1229181989.0,,126.726641338641,37.4484270033414
1545,1546,수질오염원설치시설(기타),09_30_12_P,3530000,353000025202100084,2021-12-23,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 고잔동 333,인천광역시 남동구 앵고개로 688 (고잔동),21682,진영모터스,2022-02-03 17:45:18,I,2022-02-08 00:22:38,,174622.454279144,431878.365239165,기타수질오염원관리,,,,,0,,0,,,126.714199547816,37.3886481627251
3471,3472,수질오염원설치시설(기타),09_30_12_P,3530000,353000025200600029,2006-12-14,,1,영업/정상,11,영업,,,,,,,405-230,인천광역시 남동구 간석동 617-28,인천광역시 남동구 석정로497번길 57  (간석동),,파워프린트,2006-12-14 11:56:16,I,2021-12-16 00:22:43,,172665.363142446,440733.527432429,기타수질오염원관리,,,,,0,,0,,,126.691802354824,37.4683684681769
3472,3473,수질오염원설치시설(기타),09_30_12_P,3530000,353000025200700004,2007-01-08,,1,영업/정상,11,영업,,,,,,,405-220,인천광역시 남동구 구월동 1262-10,,,새솜재활의학과의원,2007-01-08 15:24:30,I,2021-12-16 00:22:43,,,,기타수질오염원관리,,,,,0,,0,,,126.722297243549,37.454613667579
3473,3474,수질오염원설치시설(기타),09_30_12_P,3530000,353000025200700005,2007-01-24,,1,영업/정상,11,영업,,,,,,,405-230,인천광역시 남동구 간석동 893-1   온누리상가 3층,,,맹소아과,2007-01-24 10:52:03,I,2021-12-16 00:22:43,,,,기타수질오염원관리,,,,,0,,0,,,126.694485315247,37.4668048887815
3474,3475,수질오염원설치시설(기타),09_30_12_P,3530000,353000025200700006,2005-09-09,,1,영업/정상,11,영업,,,,,0328764483,,,인천광역시 남동구 간석동 616-79,"인천광역시 남동구 경원대로 933, 5층 (간석동)",,화인팩키지,2022-04-25 16:18:54,U,2022-04-27 02:40:00,,172489.633376139,440479.321628246,기타수질오염원관리,,,,,0,,0,2011572514.0,,126.689818678984,37.466075889591
3475,3476,수질오염원설치시설(기타),09_30_12_P,3530000,353000025200700007,2007-01-31,,1,영업/정상,11,영업,,,,,0325057935,,,인천광역시 남동구 간석동 768-14,인천광역시 남동구 경인로 764  (간석동),,대현의원,2009-06-12 11:49:35,I,2021-12-16 00:22:43,,174335.125771527,441777.943920882,기타수질오염원관리,,,,,0,,0,1309186044.0,,126.710634100132,37.4778295371007
3476,3477,수질오염원설치시설(기타),09_30_12_P,3530000,353000025200700008,2007-02-09,,1,영업/정상,11,영업,,,,,,,405-310,인천광역시 남동구 고잔동 326,인천광역시 남동구 앵고개로697번길 17-19  (고잔동),,풍림자동차,2007-02-09 11:08:27,I,2021-12-16 00:22:43,,174680.907732233,431923.765895856,기타수질오염원관리,,,,,0,,0,,,126.714892051615,37.3890776387277
3477,3478,수질오염원설치시설(기타),09_30_12_P,3530000,353000025200700010,2007-02-15,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 서창동 542-6 1층,"인천광역시 남동구 독곡로 40  (서창동,1층)",,서창사진관,2009-06-09 11:08:32,I,2021-12-16 00:22:43,,177669.536509678,437010.405690313,기타수질오염원관리,,,,,0,,0,,,126.748475959691,37.4349618283402
3478,3479,수질오염원설치시설(기타),09_30_12_P,3530000,353000025200700011,2007-03-09,,1,영업/정상,11,영업,,,,,,,405-220,인천광역시 남동구 구월동 279-3,,,우리의원,2007-03-09 13:37:19,I,2021-12-16 00:22:43,,,,기타수질오염원관리,,,,,0,,0,,,126.710851416473,37.4491464573554
3479,3480,수질오염원설치시설(기타),09_30_12_P,3530000,353000025200700012,2007-03-20,,1,영업/정상,11,영업,,,,,,,405-220,"인천광역시 남동구 구월동 1264-76   2,4,5,6층",,,동서재활의학과의원,2007-03-20 13:28:36,I,2021-12-16 00:22:43,,,,기타수질오염원관리,,,,,0,,0,,,,
3480,3481,수질오염원설치시설(기타),09_30_12_P,3530000,353000025200700013,2007-03-28,,1,영업/정상,11,영업,,,,,,,405-100,"인천광역시 남동구 남촌동 336 2,3층","인천광역시 남동구 남촌동로35번길 4  (남촌동,2,3층)",,남촌굿모닝의원,2007-03-28 09:43:09,I,2021-12-16 00:22:43,,174670.999482748,436676.299841841,기타수질오염원관리,,,,,0,,0,,,,
3481,3482,수질오염원설치시설(기타),09_30_12_P,3530000,353000025200700014,2007-04-18,,1,영업/정상,11,영업,,,,,4631032,,,인천광역시 남동구 만수동 967-13,인천광역시 남동구 소래로669번길 38 (만수동),405-241,닥터오메디컬의원,2012-12-04 10:53:22,I,2021-12-16 00:22:43,,176233.001074158,438698.018507361,기타수질오염원관리,,,,,0,,0,1399019322.0,,126.732189899653,37.4501304540777
3482,3483,수질오염원설치시설(기타),09_30_12_P,3530000,353000025200700015,2007-05-01,,1,영업/정상,11,영업,,,,,,,,인천광역시 남동구 만수동 68-7,인천광역시 남동구 만수로 78  (만수동),,제일메디칼의원,2009-08-24 18:29:24,I,2021-12-16 00:22:43,,176590.690847714,440024.922377564,기타수질오염원관리,,,,,0,,0,1379603049.0,,126.736190055387,37.4620949566871
3483,3484,수질오염원설치시설(기타),09_30_12_P,3530000,353000025200700017,2007-05-10,,1,영업/정상,11,영업,,,,,,,405-310,인천광역시 남동구 고잔동 제3경인고속도로접속부,,,(주)대우건설,2007-05-10 10:36:34,I,2021-12-16 00:22:43,,,,기타수질오염원관리,,,,,0,,0,,,,
3484,3485,수질오염원설치시설(기타),09_30_12_P,3530000,353000025200700019,2007-06-28,,1,영업/정상,11,영업,,,,,4627507,,,인천광역시 남동구 만수동 1041-5,인천광역시 남동구 장승남로 46 (만수동),,이레마취통증의학과의원,2016-02-01 18:05:21,I,2021-12-16 00:22:43,,176679.339600887,437930.393881467,기타수질오염원관리,,,,,0,,0,1349148571.0,,126.737258436172,37.443225574127
