,연번,상호,대표자,업종,소재지,연락처,데이터기준일,lat,lon
0,1,㈜그린스코,박래수,중간처분업(소각전문),인천광역시 남동구 앵고개로654번길 99,,2023-09-16,126.706286340578,37.3867926742479
1,2,㈜이알지서비스,심연규,중간처분업(소각전문),인천광역시 남동구 남동서로316번길 41,032-822-2930,2023-09-16,126.701712333377,37.415656329033
2,3,㈜씨엔에스,오순용,재활용업(종합),인천광역시 남동구 고잔로 61,032-446-0388,2023-09-16,126.717549392036,37.3915324473793
3,4,(주)미래엔텍(지점),이종탁,재활용업(종합),인천광역시 남동구 고잔로 50 (고잔동),032-423-8272,2023-09-16,126.716738663087,37.3925914588219
4,5,㈜신원골드,대표이사,재활용업(종합),인천광역시 남동구 앵고개로697번길 97 (고잔동),,2023-09-16,126.715666958782,37.3933742153889
5,6,명민산업㈜,오현숙,재활용업(종합),"인천광역시 남동구 고잔로 47-1, 47-2, 고잔동 390-10",032-433-2343,2023-09-16,,
6,7,㈜인천리사이클링,이기중,재활용업(종합),인천광역시 남동구  청능대로468번길 23 (고잔동),032-446-2578,2023-09-16,126.711254561105,37.397918535015
7,8,양일엔프라㈜,장나교,재활용업(종합),인천광역시 남동구 남동동로93번길 44 (고잔동),032-812-2089,2023-09-16,126.694128338351,37.3950518615349
8,9,㈜유원포리머,이형승,재활용업(종합),인천광역시 남동구 능허대로625번길 15 (고잔동),032-811-7943,2023-09-16,126.682181189762,37.3925184955264
9,10,(주)유진상사,양원길,재활용업(종합),인천광역시 남동구 고잔로51번길 26 (고잔동),,2023-09-16,126.718386788766,37.3917908748245
10,11,㈜현대에코텍,최동철,재활용업(종합),인천광역시 남동구  남동대로262번길 30-43 (논현동),032-818-2295,2023-09-16,126.701251693384,37.4052693280969
11,12,원일,임영기,재활용업(종합),인천광역시 남동구 함박뫼로377번길 44-19 (남촌동),032-818-0350,2023-09-16,126.707514187731,37.4136813816497
12,13,종성산업(주),종성열,재활용업(종합),인천광역시 남동구  청능대로484번길 8-18 (고잔동),032-446-2353,2023-09-16,,
13,14,㈜제이엠인터내셔날,"김우연,김경하",재활용업(종합),인천광역시 남동구 남동대로155번길 22(고잔동),032-822-8356,2023-09-16,126.693061624956,37.4003600599116
14,15,㈜엠엔에스,김존영,재활용업(종합),인천광역시 남동구 고잔로42번길 7,032-425-9742,2023-09-16,126.716354682768,37.3930179820845
15,16,진성산업사,서복용,재활용업(종합),인천광역시 남동구 승기천로 144(고잔동),032-813-4741,2023-09-16,126.686102720499,37.4044575484178
16,17,㈜세종그린텍,박경순,재활용업(종합),인천광역시 남동구 논현고잔로54번길 12-2(고잔동),032-446-6866,2023-09-16,126.711790798792,37.3873540379527
17,18,미래,김영남,재활용업(종합),인천광역시 남동구 앵고개로697번길 8(고잔동),,2023-09-16,126.715395093815,37.389174448718
18,19,애니오케이,차주만,재활용업(종합),인천광역시 남동구 청능대로534번길50-2(고잔동),032-428-6767,2023-09-16,126.719956632488,37.3979083796221
19,20,(주)엠알메탈로,고현경,재활용업(종합),인천광역시 남동구 앵고개로 719번길 84(고잔동),032-435-9323,2023-09-16,126.719105464662,37.3924535722416
20,21,신세계리사이클링,박애자,재활용업(종합),인천광역시 남동구 청능대로534번길 50-2,032-424-4933,2023-09-16,126.719956632488,37.3979083796221
21,22,㈜한청알에프,이근학,재활용업(종합),인천광역시 남동구 고잔로51번길 46-1외 3필지,,2023-09-16,,
22,23,㈜에이치에스티,신호성,재활용업(종합),인천광역시 남동구 논현고잔로54번길 84-1,032-822-9677,2023-09-16,126.716208122386,37.386481901346
23,24,씨제이금속,전태현,재활용업(종합),인천광역시 남동구 고잔로41번길 18-17,032-715-4277,2023-09-16,126.718113465338,37.3925860042014
24,25,삼덕금속㈜,강기현,재활용업(종합),인천광역시 남동구 함박뫼로318번길 43 (논현동),032-816-0284,2023-09-16,126.698281825303,37.4130828820764
25,26,나은산업,이주완,재활용업(종합),인천광역시 남동구 청능대로484번길 28-26(고잔동),032-442-0407,2023-09-16,126.713244761194,37.3974910694177
26,27,㈜디앤디산업,정지윤,재활용업(종합),인천광역시 남동구 앵고개로697번길 17-23,032-441-3233,2023-09-16,126.714420745677,37.3886821249637
27,28,제이앤지메탈,박지훈,재활용업(종합),인천광역시 남동구 청능대로534번길 50-2,032-562-4987,2023-09-16,126.719956632488,37.3979083796221
28,29,비케이리메탈㈜,배순한,재활용업(종합),인천광역시 남동구 논현고잔로 128번길 21,032-517-5205,2023-09-16,126.714768520114,37.3938150829105
29,30,청우금속,최길섭,재활용업(종합),인천광역시 남동구 논현고잔로130번길 38 (고잔동),032-822-0745,2023-09-16,126.715506838828,37.3938189338731
30,31,골드코리아,노규웅,재활용업(종합),인천광역시 남동구 청능대로534번길 36-2,032-446-5466,2023-09-16,126.719634996951,37.3981798152343
31,32,동일자원,박양철,재활용업(종합),"인천광역시 남동구 논현고잔로54번길 15-17, 2동(고잔동)",,2023-09-16,126.71272061087,37.3887074703468
32,33,㈜한국금거래소에프티씨,대표이사,재활용업(종합),인천광역시 남동구 앵고개로697번길 40-3,032-421-5427,2023-09-16,126.715353087813,37.390697341716
33,34,㈜하나리사이클링,이경근,재활용업(종합),인천광역시 남동구 고잔로73번길 5(고잔동),032-815-0991,2023-09-16,126.717356825236,37.3905773567133
34,35,(주)가보금속,조정운,재활용업(종합),인천광역시 남동구 청능대로484번길 36-20(고잔동),032-472-2888,2023-09-16,126.714037165628,37.3972692654478
35,36,신명PM,김현교,재활용업(종합),"인천광역시 남동구 승기천로 24(고잔동, 124B-19L)",,2023-09-16,126.676288832801,37.3976977836823
36,37,케이디컴퍼니,김도환,재활용업(종합),"인천광역시 남동구 고잔로 79, 에프동(고잔동)",032-425-2055,2023-09-16,126.717304514167,37.3895620524152
37,38,에스지개발,윤석환,재활용업(종합),인천광역시 남동구 논현고잔로 56 (고잔동),032-421-0497,2023-09-16,126.712522905236,37.3882289085899
38,39,(주)장원레미콘 인천공장,양희운,재활용업(종합),인천광역시 남동구 남동대로262번길 30-37(논현동),032-814-8123,2023-09-16,126.701171180282,37.4055207787793
39,40,㈜진명리싸이클,이한진,재활용업(종합),인천광역시 남동구 에코중앙로 25-14,032-446-0403,2023-09-16,126.714906522671,37.3864488567315
40,41,(주)제이엘이,박경식,재활용업(종합),인천광역시 남동구 청능대로 484번길 28-36,032-422-8476,2023-09-16,126.712965726608,37.3970691660982
41,42,㈜보광메탈 인천남동사업장,김명종,재활용업(종합),인천광역시 남동구 앵고개로697번길 72 (고잔동),032-816-7391,2023-09-16,126.715673953705,37.392030541704
42,43,오르타,이승연,재활용업(종합),인천광역시 남동구 앵고개로716번길 29,032-433-3694,2023-09-16,126.717239520862,37.3882256840747
43,44,(주)디에스씨 남동지점,박봉권,재활용업(종합),인천광역시 남동구 고잔로 89 (고잔동),,2023-09-16,126.716890819492,37.3887664530488
