,연번,상호명,소재지주소,전화번호,데이터기준일자,lat,lon
0,1,에이치디현대오일뱅크㈜직영 수인주유소,인천광역시 남동구 백범로 255 (구월동),032-466-7001,2024-02-22,126.720823763719,37.4605801067242
1,2,㈜박문석유 구월주유소,인천광역시 남동구 인주대로 512 (구월동),032-422-5455,2024-02-22,126.693453909494,37.4500893099746
2,3,에이치디현대오일뱅크㈜직영 만수동셀프주유소,인천광역시 남동구 구월로 371 (만수동),032-464-6993,2024-02-22,126.73199640945,37.4552964111788
3,4,현대주유소,인천광역시 남동구 백범로 85 (만수동),032-461-2277,2024-02-22,126.736461497391,37.4524818741483
4,5,㈜중앙에너비스 남동공단지점,인천광역시 남동구 남동대로 258 (논현동),032-816-5151,2024-02-22,126.700261426448,37.407383311184
5,6,에이치디현대오일뱅크㈜직영 공단1주유소,인천광역시 남동구 남동대로 367 (남촌동),032-812-4162,2024-02-22,126.705646335938,37.4161526477687
6,7,현대오일뱅크 고잔주유소,인천광역시 남동구 논현고잔로 156 (고잔동),032-446-4000,2024-02-22,126.715590502739,37.3964834489281
7,8,한사랑주유소,인천광역시 남동구 인주대로 774 (구월동),032-462-5429,2024-02-22,126.723212001416,37.4486111174486
8,9,㈜유카스에너지,인천광역시 남동구 장수로 2-2 (장수동),032-465-0775,2024-02-22,126.749816392176,37.4495515278761
9,10,인주대로주유소(구 삼보주유소),인천광역시 남동구 인주대로 858 (만수동),032-465-1011,2024-02-22,126.732628626501,37.4480966034449
10,11,농장주유소,인천광역시 남동구 호구포로 806 (구월동),032-468-0257,2024-02-22,,
11,12,㈜정해네트웍스 남동하이웨이주유소,인천광역시 남동구 만월로 22 (간석동),032-516-4554,2024-02-22,126.721053309626,37.4680694733125
12,13,보문주유소,인천광역시 남동구 인주대로 709 (구월동),032-472-5189,2024-02-22,126.716176253874,37.4495598641141
13,14,KH에너지㈜직영 수림공원주유소,인천광역시 남동구 경인로 558 (간석동),032-429-5018,2024-02-22,126.700732476904,37.4625949661282
14,15,고미에너지딜리버리㈜인천지점,인천광역시 남동구 주안로 270 (간석동),032-428-0001,2024-02-22,126.699882581645,37.4628780700615
15,16,정해주유소,인천광역시 남동구 백범로 471 (간석동),032-434-6113,2024-02-22,126.698590150627,37.4684833758716
16,17,신향주유소,인천광역시 남동구 인주대로 696 (구월동),032-472-5104,2024-02-22,126.714252581033,37.4488364923709
17,18,서일석유㈜남동서일주유소,인천광역시 남동구 인주대로 759 (구월동),032-466-8853,2024-02-22,126.721504540188,37.4492723228839
18,19,KH에너지㈜직영 문광주유소,인천광역시 남동구 인주대로 810 (구월동),032-575-5100,2024-02-22,126.727221725786,37.4483136455548
