,연번,업 종,업소명,도로명주소,전화번호,팩스,lat,lon
3,4,"수탁,재이용",㈜일성,남동구 청능대로409번길 19(고잔동),032-821-2141,032-821-2145,126.704964302824,37.4001285226784
7,8,수탁,㈜그린스코,남동구 앵고개로654번길 99(고잔동) ,032-718-0114,032-718-0119,126.706286340578,37.3867926742479
8,9,수탁,디에스그린㈜,남동구 남동서로316번길 48(남촌동),032-224-1113,032-224-1114,126.701369039836,37.4151444963106
16,17,재이용,주영산업,남동구 남동서로23번길114-1(고잔동) ,032-816-3015,032-816-3016,126.676642648328,37.3972533785829
17,18,재이용,가온피엠씨,남동구 승기천로 28(고잔동),032-813-6593,032-814-6593,126.676746135346,37.3979279833932
18,19,재이용,케이비 골드,남동구 남동대로 284(논현동) ,032-208-0072,032-208-0073,126.701747382141,37.4093524571185
20,21,재이용,신명PM,남동구 승기천로 24(고잔동) ,032-815-0968,032-814-0968,126.676288832801,37.3976977836823
26,27,재이용,삼덕금속㈜,남동구 함박뫼로318번길 43(논현동) ,032-816-0284,032-816-0285,126.698281825303,37.4130828820764
27,28,재이용,㈜골드코리아,남동구 청능대로534번길 36-2(고잔동) ,032-446-5466,032-446-5467,126.719634996951,37.3981798152343
29,30,재이용,㈜오르타,남동구 앵고개로 719번길 26,032-433-3694,032-432-3694,126.718190549908,37.3895511925552
30,31,재이용,청우금속,남동구 논현고잔로130번길 38(고잔동) ,032-822-0745,032-822-0746,126.715506838828,37.3938189338731
31,32,재이용,제일금속,남동구 고잔로51번길 46-1(고잔동) ,032-424-2362,032-424-0362,126.719386202074,37.3913024651881
32,33,재이용,㈜엠알메탈로,남동구 앵고개로 719번길 84,032-435-9321,032-435-9325,126.719105464662,37.3924535722416
33,34,재이용,㈜디에스씨 남동지점,남동구 고잔로 89(고잔동),070-7458-9847,032-466-2849,126.716890819492,37.3887664530488
34,35,재이용,나은산업,남동구 청능대로484번길 28-26(2층),032-441-0407,032-441-0408,126.713244761194,37.3974910694177
35,36,재이용,㈜제이엘이,남동구 청능대로 484번길 28-36,032-422-8476,032-433-8476,126.712965726608,37.3970691660982
36,37,재이용,세바엔텍,남동구 청능대로 484번길 28-14 B동,032-422-1588,032-433-8476,126.713634025206,37.3978533213143
37,38,재이용,알오케이골드,남동구 에코중앙로 25-14,032-446-0403,032-439-0403,126.714906522671,37.3864488567315
